Weekly Spending on Nicotine-based Products,Estimated Monthly Allowance,Policy Clarity,Policy Enforcement
200,2500,3,2.333333333
400,2500,3.333333333,1.666666667
200,9000,3.5,2.666666667
400,2500,3.666666667,2.5
600,2500,4,3
200,6500,2.5,2.166666667
100,6500,3.666666667,3
400,12500,3.333333333,2.5
100,6500,3.666666667,2.666666667
400,6500,3,2.666666667
600,22500,4,2.5
400,6500,2.333333333,3
400,12500,3.333333333,2.833333333
400,6500,3,3
100,6500,4,4
100,9000,3.5,3
200,2500,2.666666667,2.166666667
200,2500,2.333333333,2.333333333
400,9000,3.5,2.833333333
100,17500,3.333333333,2.833333333
400,2500,3.5,3.5
600,22500,2.166666667,2
600,9000,3.333333333,2.333333333
100,2500,4,2.833333333
100,17500,3.833333333,3.333333333
100,2500,3.166666667,2.333333333
400,6500,2.666666667,2.166666667
100,22500,3,2.833333333
100,2500,3.166666667,2.333333333
600,22500,3,2.333333333
600,9000,2.666666667,3.166666667
100,12500,4,3
200,6500,4,3.166666667
400,2500,2.333333333,3
400,6500,2,2.5
400,6500,2.666666667,2.666666667
400,9000,3,2.333333333
400,2500,4,4
400,6500,4,3.166666667
200,2500,2.666666667,2.833333333
400,9000,1.166666667,2.5
400,9000,3.833333333,3.333333333
400,22500,3,3
100,2500,3.5,2.833333333
200,12500,4,4
400,6500,2.5,2.333333333
400,6500,2.833333333,2.666666667
200,6500,2.666666667,2.833333333
600,9000,1.333333333,1.666666667
400,6500,4,3.5
400,9000,2.833333333,2.666666667
200,6500,2,2.333333333
100,2500,2.666666667,2.5
200,6500,2.5,2.833333333
400,17500,2.666666667,2.5
400,17500,2.666666667,2.833333333
600,22500,1.666666667,2.333333333
600,22500,1.5,2
600,17500,3,3
600,17500,3.666666667,3.833333333
400,22500,3.166666667,3.333333333
600,22500,2.5,2.166666667
600,22500,3.166666667,3.166666667
400,17500,2.833333333,3
400,17500,2.833333333,2.666666667
600,22500,2.666666667,3
600,22500,1.5,2.166666667
600,22500,3,3
600,17500,3,3
400,6500,1.5,1.666666667
400,6500,2.666666667,2.666666667
200,9000,2.5,3.333333333
400,2500,2.833333333,2
600,9000,2.333333333,3.333333333
200,17500,3.5,3.333333333
600,6500,2.833333333,2.833333333
200,6500,2.833333333,3.166666667
600,6500,2.5,3.166666667
400,12500,3.5,3.166666667
100,2500,2.833333333,2.5
100,22500,3,3
400,2500,2.833333333,2.5
200,6500,3,2.666666667
400,12500,3,3.166666667
600,12500,3,2.166666667
600,22500,2.833333333,2.833333333
600,2500,3.333333333,2.666666667
100,9000,3.666666667,3
400,12500,3.333333333,3.333333333
400,22500,3.166666667,2.5
400,12500,2.833333333,2.666666667
100,12500,3.333333333,2.833333333
400,17500,3.166666667,2.833333333
400,22500,3.333333333,2.166666667
400,9000,3,3
600,6500,3.333333333,3.166666667
100,2500,3,2.333333333
400,6500,3,2.333333333
600,22500,2.666666667,3
200,17500,3,3.333333333
200,6500,2.5,2.833333333
400,17500,3,2.666666667
600,9000,3.166666667,2.333333333
600,6500,3.166666667,2.5
400,9000,3,2.833333333
100,2500,2.666666667,2.666666667
400,2500,2.666666667,2.5
400,6500,3.666666667,3
400,9000,3.166666667,3
400,22500,3.166666667,3.166666667
400,17500,1.833333333,2.5
100,17500,3,3.333333333
100,6500,2.833333333,2.666666667
600,2500,3,3.166666667
400,6500,3.333333333,2.666666667
400,9000,3,2.666666667
600,22500,3.5,2.666666667
200,6500,3.333333333,2.666666667
400,6500,2.833333333,3.333333333
400,22500,3.166666667,2.833333333
600,22500,2.666666667,3
600,9000,1.833333333,2.333333333
600,22500,3.5,3.333333333
600,2500,3.833333333,3.166666667
200,9000,2.833333333,2.666666667
600,17500,3,2.833333333
400,22500,2.666666667,2.333333333
200,12500,2.5,3
600,6500,2.666666667,2
600,9000,3.333333333,2.833333333
200,6500,3.166666667,2.666666667
600,17500,2.833333333,2.666666667
200,6500,3.333333333,2.833333333
200,2500,2.666666667,2.666666667
600,6500,3.666666667,3.333333333
400,17500,3.5,2.833333333
400,22500,3.333333333,2.833333333
400,17500,3.166666667,2.833333333
100,9000,3,2.5
400,2500,3.666666667,3.166666667
400,22500,3,2.5
100,2500,2.666666667,2.166666667
400,2500,2.833333333,2.666666667
100,17500,3,3
400,6500,2.833333333,2.666666667
400,6500,2.833333333,3
600,12500,3.166666667,2.666666667
100,12500,3.166666667,3.166666667
400,9000,3.5,3
400,9000,3.333333333,2.5